encoder,decoder,dataset,seed,latency_ms_per_image,peak_memory_MB,total_params_M,trainable_params_M,flops_G,flops_source,n_warmup,n_timed,device_used,test_dice,test_iou
swin,bat,isic2018,4,4.066,351.57,38.7,38.7,6.754,fvcore,5,20,cuda,0.8909982993052556,0.8177124995451707
swin,bat,polyp_kvasir,0,3.964,351.57,38.7,38.7,6.754,fvcore,5,20,cuda,0.9017084836959839,0.8344381222358117
swin,bat,polyp_kvasir,1,3.929,351.57,38.7,38.7,6.754,fvcore,5,20,cuda,0.901500234237084,0.8391478703572199
swin,bat,polyp_kvasir,2,3.982,351.57,38.7,38.7,6.754,fvcore,5,20,cuda,0.8933757772812476,0.8305755395155686
swin,bat,polyp_kvasir,3,4.331,351.57,38.7,38.7,6.754,fvcore,5,20,cuda,0.8888976528094366,0.8222158459516672
swin,bat,polyp_kvasir,4,4.804,351.57,38.7,38.7,6.754,fvcore,5,20,cuda,0.896876756961529,0.832743227481842
swin,bat,tn3k,0,4.711,351.57,38.7,38.7,6.754,fvcore,5,20,cuda,0.8224362073006568,0.731371275790326
swin,bat,tn3k,1,4.745,351.57,38.7,38.7,6.754,fvcore,5,20,cuda,0.8190354882896721,0.7301381454839335
swin,bat,tn3k,2,4.069,351.57,38.7,38.7,6.754,fvcore,5,20,cuda,0.821701006455855,0.7306425091508147
swin,bat,tn3k,3,3.978,351.57,38.7,38.7,6.754,fvcore,5,20,cuda,0.8191069751590877,0.7281176896838398
swin,bat,tn3k,4,4.017,351.57,38.7,38.7,6.754,fvcore,5,20,cuda,0.8147307564685871,0.7239893984484982
swin,boundformer,busi,0,6.584,377.49,27.95,27.95,7.511,fvcore,5,20,cuda,0.7247100928250481,0.6175309437162736
swin,boundformer,busi,1,6.684,377.49,27.95,27.95,7.511,fvcore,5,20,cuda,0.7182937965673559,0.6088601718930637
